"Geography_Code","NM_1545_1_0","NM_1545_1_1","NM_1545_1_2","NM_1545_1_3","NM_1545_1_4"
"N00000551",269,246,15,1,7
"N00000552",254,230,12,7,5
"N00000553",347,323,9,5,10
"N00000554",250,229,15,3,3
"N00000555",251,227,14,6,4
"N00000556",348,324,12,7,5
"N00000557",552,481,39,12,20
"N00000558",466,414,30,12,10
"N00000559",322,280,20,10,12
"N00000560",413,361,37,4,11
"N00000561",493,445,25,9,14
"N00000562",364,331,15,5,13
"N00000563",923,846,29,16,32
"N00000564",323,294,11,6,12
"N00000565",218,208,7,1,2
"N00000566",320,288,16,7,9
"N00000567",517,458,40,5,14
"N00000568",369,330,23,5,11
"N00000569",380,345,17,7,11
"N00000570",337,301,30,2,4
"N00000571",303,266,25,3,9
"N00000572",572,507,47,8,10
"N00000573",364,312,40,4,8
"N00000574",435,383,38,4,10
"N00000575",462,407,38,5,12
"N00000576",344,308,24,5,7
"N00000577",434,377,32,8,17
"N00000578",718,646,39,12,21
"N00000579",480,431,22,8,19
"N00000580",474,424,31,9,10
"N00000581",539,485,37,8,9
"N00000582",401,341,33,12,15
"N00000583",305,250,37,5,13
"N00000584",493,436,42,7,8
"N00000585",477,425,32,4,16
"N00000586",446,401,33,6,6
"N00000587",465,400,51,9,5
"N00000588",394,351,31,9,3
"N00000589",639,585,33,9,12
"N00000590",416,360,36,6,14
"N00000591",454,404,30,4,16
"N00000592",480,426,33,8,13
"N00000593",576,531,33,7,5
"N00000594",371,332,24,8,7
"N00000595",525,461,48,1,15
"N00000596",293,240,27,9,17
"N00000597",235,211,13,3,8
"N00000598",287,264,11,4,8
"N00000599",223,205,8,4,6
"N00000600",350,323,11,6,10
"N00000601",283,230,31,11,11
"N00000602",214,182,16,4,12
"N00000603",414,356,33,10,15
"N00000604",340,302,25,5,8
"N00000605",488,429,31,6,22
"N00000606",352,323,21,4,4
"N00000607",310,280,16,3,11
"N00000608",365,326,19,5,15
"N00000609",375,331,25,4,15
"N00000610",419,356,41,9,13
"N00000611",301,243,39,5,14
"N00000612",543,485,23,10,25
"N00000613",236,206,12,5,13
"N00000614",217,194,8,7,8
"N00000615",139,114,11,5,9
"N00000616",301,271,16,3,11
"N00000617",310,278,15,10,7
"N00000618",621,549,41,14,17
"N00000619",371,324,34,2,11
"N00000620",372,321,33,8,10
"N00000621",390,348,27,3,12
"N00000622",385,351,22,3,9
"N00000623",332,299,20,4,9
"N00000624",469,420,29,8,12
"N00000625",262,239,13,6,4
