"Geography_Code","NM_1546_1_0","NM_1546_1_1","NM_1546_1_2","NM_1546_1_3","NM_1546_1_4","NM_1546_1_5"
"N00000711",522,251,181,67,17,6
"N00000712",385,185,118,66,12,4
"N00000713",421,205,144,58,11,3
"N00000714",453,242,123,63,18,7
"N00000715",656,321,227,78,25,5
"N00000716",897,451,304,110,21,11
"N00000717",576,314,162,70,17,13
"N00000718",1923,1081,573,202,55,12
"N00000719",260,161,66,22,9,2
"N00000720",484,278,153,47,6,0
"N00000721",460,258,137,54,7,4
"N00000722",495,250,164,64,15,2
"N00000723",445,231,137,59,11,7
"N00000724",495,283,125,62,24,1
"N00000725",477,265,142,51,15,4
"N00000726",445,284,97,45,15,4
"N00000727",274,93,94,59,23,5
"N00000728",495,247,181,50,12,5
"N00000729",355,180,129,33,9,4
"N00000730",305,127,116,46,15,1
"N00000731",267,94,80,59,30,4
"N00000732",569,294,195,64,14,2
"N00000733",325,137,130,43,14,1
"N00000734",416,200,148,54,13,1
"N00000735",422,228,108,69,14,3
"N00000736",382,196,108,58,14,6
"N00000737",382,199,117,58,5,3
"N00000738",432,243,127,48,10,4
"N00000739",444,238,125,62,15,4
"N00000740",567,324,164,66,9,4
"N00000741",345,187,111,40,5,2
"N00000742",286,124,94,56,8,4
"N00000743",270,101,82,64,18,5
"N00000744",283,136,99,34,10,4
"N00000745",470,244,168,45,10,3
"N00000746",508,176,182,98,43,9
"N00000747",401,201,129,47,21,3
"N00000748",454,256,142,45,10,1
"N00000749",387,166,107,94,18,2
"N00000750",319,129,119,56,14,1
