"Geography_Code","NM_1554_1_0","NM_1554_1_1","NM_1554_1_2","NM_1554_1_3","NM_1554_1_4","NM_1554_1_5","NM_1554_1_6","NM_1554_1_7","NM_1554_1_8","NM_1554_1_9"
"N00000351",137,0,2,3,10,36,32,16,10,28
"N00000352",142,1,2,3,7,24,22,31,27,25
"N00000353",140,0,1,0,7,22,37,31,16,26
"N00000354",133,0,1,1,11,12,18,26,26,38
"N00000355",154,0,1,4,8,42,27,23,24,25
"N00000356",146,1,3,10,21,45,32,29,5,0
"N00000357",452,2,9,30,45,219,69,43,25,10
"N00000358",140,0,0,8,18,81,17,6,5,5
"N00000359",389,4,36,66,65,132,50,20,4,12
"N00000360",130,0,0,7,6,31,26,21,21,18
"N00000361",148,0,1,15,9,48,40,15,12,8
"N00000362",126,0,0,1,7,23,29,28,11,27
"N00000363",150,1,0,5,6,32,32,32,18,24
"N00000364",150,0,1,3,7,30,32,35,25,17
"N00000365",86,0,1,0,10,42,12,7,8,6
"N00000366",187,0,4,5,15,66,39,15,12,31
"N00000367",143,1,4,4,26,63,23,8,7,7
"N00000368",170,0,0,1,9,45,35,25,22,33
"N00000369",141,0,2,5,12,21,32,19,25,25
"N00000370",172,0,3,4,7,43,35,34,24,22
"N00000371",141,2,0,0,7,22,31,18,31,30
"N00000372",135,0,1,1,18,42,28,29,11,5
"N00000373",178,0,0,1,15,61,48,27,14,12
"N00000374",132,0,1,3,13,38,31,14,16,16
"N00000375",134,0,0,6,7,27,35,23,15,21
"N00000376",116,0,1,3,7,21,50,20,9,5
"N00000377",119,0,0,2,8,31,43,16,13,6
"N00000378",118,0,0,3,27,68,12,4,2,2
"N00000379",164,0,0,0,4,40,45,35,26,14
"N00000380",168,1,0,3,11,26,43,32,19,33
"N00000381",333,2,2,21,38,99,70,42,30,29
"N00000382",183,0,0,3,3,40,39,37,28,33
"N00000383",144,0,0,5,11,16,32,31,20,29
"N00000384",145,1,1,4,3,17,36,23,29,31
"N00000385",135,0,0,1,7,17,29,21,24,36
"N00000386",125,0,5,2,33,55,18,10,1,1
"N00000387",106,0,8,2,29,37,18,6,6,0
"N00000388",603,5,8,32,61,279,124,46,30,18
"N00000389",156,0,3,0,30,40,15,17,24,27
"N00000390",321,0,0,3,16,61,58,53,60,70
"N00000391",173,0,0,2,5,25,35,27,32,47
"N00000392",518,0,0,10,16,186,118,73,51,64
"N00000393",178,0,1,4,2,44,33,26,31,37
"N00000394",141,0,1,0,7,23,30,18,28,34
"N00000395",142,0,0,3,12,22,20,22,24,39
"N00000396",134,0,0,2,6,16,32,22,22,34
"N00000397",189,0,0,4,7,42,26,30,39,41
"N00000398",165,0,0,1,7,35,32,25,36,29
"N00000399",130,0,0,0,11,59,31,12,7,10
"N00000400",112,1,1,12,21,46,19,7,2,3
"N00000401",117,1,2,2,18,59,20,8,2,5
"N00000402",123,0,7,8,22,45,16,10,6,9
"N00000403",208,1,2,8,24,38,69,33,16,17
"N00000404",121,1,2,7,23,56,17,8,4,3
"N00000405",105,0,5,6,27,52,9,4,0,2
"N00000406",121,0,1,2,5,22,20,18,26,27
"N00000407",344,0,2,7,19,49,90,67,47,63
"N00000408",146,0,2,5,7,25,24,31,30,22
"N00000409",143,0,3,3,11,41,40,15,15,15
"N00000410",136,0,1,2,8,16,29,24,24,32
"N00000411",128,0,0,2,14,55,19,12,15,11
"N00000412",138,0,4,2,11,24,23,22,27,25
"N00000413",131,0,1,3,6,18,31,25,23,24
"N00000414",125,0,0,3,13,10,31,26,20,22
"N00000415",162,0,0,5,19,56,29,15,14,24
"N00000416",133,0,0,0,7,19,32,24,20,31
"N00000417",187,0,0,2,3,41,80,27,15,19
"N00000418",313,0,2,2,37,87,56,36,42,51
"N00000419",139,0,1,3,5,25,30,24,20,31
"N00000420",138,0,1,1,9,47,23,26,12,19
"N00000421",185,0,1,1,10,72,53,19,18,11
"N00000422",170,0,2,8,13,73,48,17,5,4
"N00000423",152,0,0,1,6,23,43,22,18,39
"N00000424",180,0,6,8,10,57,38,28,18,15
"N00000425",121,0,2,2,8,16,22,28,19,24
"N00000426",123,0,1,5,16,43,23,12,10,13
"N00000427",133,0,1,7,10,41,29,14,19,12
"N00000428",146,2,1,4,10,57,30,17,11,14
"N00000429",152,0,0,4,11,19,31,25,22,40
"N00000430",154,0,0,0,5,24,30,26,33,36
"N00000431",137,0,1,1,6,56,32,13,12,16
"N00000432",118,0,2,8,9,52,21,6,10,10
"N00000433",141,2,3,11,33,47,26,12,4,3
"N00000434",179,0,0,1,37,55,50,16,11,9
"N00000435",173,1,1,19,8,84,34,18,5,3
"N00000436",174,0,1,7,5,22,37,30,29,43
"N00000437",195,0,0,4,5,23,23,33,53,54
"N00000438",153,1,1,5,3,21,34,26,24,38
"N00000439",134,0,1,3,5,15,21,38,21,30
"N00000440",127,2,3,2,11,30,27,19,16,17
"N00000441",121,0,1,3,17,42,22,10,11,15
"N00000442",167,0,1,2,20,72,32,13,14,13
"N00000443",164,0,0,0,7,17,21,35,39,45
"N00000444",257,3,6,17,22,95,76,20,10,8
"N00000445",141,0,0,1,8,6,27,29,31,39
"N00000446",130,2,0,0,12,40,16,15,22,23
"N00000447",117,0,0,1,14,20,32,27,11,12
